ID_Colonnina;Tipo_Evento;Inizio;Fine;Durata_Min;Modello_Auto;SOC_Iniziale_%;Energia_kWh;Ricavo_Euro;Assunzione_Prob_Arrivo;Assunzione_Prob_Idle
MI-DUOMO-01;IDLE;2025-01-05 18:30;2025-01-05 19:00;30;Tesla Model Y;N/A;0.0;3.0;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-05 20:15;2025-01-05 23:00;165;Tesla Model Y;50;30.25;19.66;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-06 01:15;2025-01-06 02:15;60;Jeep Compass PHEV;25;7.4;4.81;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-06 02:45;2025-01-06 04:00;75;Fiat 500e;55;13.75;8.94;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-06 04:15;2025-01-06 04:45;30;Smart EQ;30;11.0;7.15;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-06 10:15;2025-01-06 15:30;315;Tesla Model Y;16;57.75;37.54;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-06 18:00;2025-01-06 18:30;30;Smart EQ;29;11.0;7.15;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-06 23:15;2025-01-07 00:45;90;Fiat 500e;46;16.5;10.72;0.12;0.3
MI-DUOMO-01;IDLE;2025-01-07 00:45;2025-01-07 01:45;60;Fiat 500e;N/A;0.0;6.0;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-07 06:15;2025-01-07 09:45;210;Tesla Model Y;41;38.5;25.03;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-07 13:45;2025-01-07 15:15;90;Fiat 500e;46;16.5;10.72;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-07 16:30;2025-01-07 19:15;165;Fiat 500e;11;30.25;19.66;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-07 20:30;2025-01-07 21:15;45;Jeep Compass PHEV;47;5.55;3.61;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-07 22:00;2025-01-08 00:30;150;Tesla Model Y;54;27.5;17.88;0.12;0.3
MI-DUOMO-01;CHARGING;2025-01-08 05:45;2025-01-08 07:15;90;Fiat 500e;46;16.5;10.72;0.12;0.3
